2020_Team_DVOA_Ratings_ Overall_ after_Week_1
Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team
BAL,1,1,88.0%,1,88.0%,1,39.9%,1,39.9%,3,-38.8%,3,-38.8%,2,9.4%,2,9.4%,HOU,0,20,-9.3%,20,-9.3%,11,11.1%,11,11.1%,24,16.7%,24,16.7%,19,-3.6%,19,-3.6%,0
NE,0,2,52.3%,2,52.3%,3,36.4%,3,36.4%,5,-23.8%,5,-23.8%,25,-7.9%,25,-7.9%,SEA,1,4,37.0%,4,37.0%,2,38.6%,2,38.6%,21,9.5%,21,9.5%,3,7.8%,3,7.8%,0
JAX,0,3,38.0%,3,38.0%,4,35.8%,4,35.8%,13,0.5%,13,0.5%,5,2.8%,5,2.8%,TEN,1,22,-14.3%,22,-14.3%,16,3.4%,16,3.4%,10,-11.1%,10,-11.1%,32,-28.7%,32,-28.7%,1
SEA,1,4,37.0%,4,37.0%,2,38.6%,2,38.6%,21,9.5%,21,9.5%,3,7.8%,3,7.8%,NE,0,2,52.3%,2,52.3%,3,36.4%,3,36.4%,5,-23.8%,5,-23.8%,25,-7.9%,25,-7.9%,1
PIT,1,5,36.0%,5,36.0%,14,6.5%,14,6.5%,2,-39.0%,2,-39.0%,27,-9.4%,27,-9.4%,DEN,0,24,-17.1%,24,-17.1%,23,-13.3%,23,-13.3%,19,3.9%,19,3.9%,11,0.1%,11,0.1%,1
WAS,0,6,35.9%,6,35.9%,28,-32.7%,28,-32.7%,1,-69.4%,1,-69.4%,13,-0.8%,13,-0.8%,ARI,1,18,-5.2%,18,-5.2%,20,0.5%,20,0.5%,17,2.9%,17,2.9%,17,-2.8%,17,-2.8%,0
BUF,1,7,16.7%,7,16.7%,17,2.6%,17,2.6%,7,-19.0%,7,-19.0%,22,-4.8%,22,-4.8%,MIA,0,30,-48.9%,30,-48.9%,27,-23.2%,27,-23.2%,29,28.3%,29,28.3%,8,2.6%,8,2.6%,0
LV,1,8,13.7%,8,13.7%,5,31.7%,5,31.7%,23,16.5%,23,16.5%,15,-1.4%,15,-1.4%,NO,0,9,10.8%,9,10.8%,24,-13.7%,24,-13.7%,9,-14.3%,9,-14.3%,1,10.2%,1,10.2%,1
NO,0,9,10.8%,9,10.8%,24,-13.7%,24,-13.7%,9,-14.3%,9,-14.3%,1,10.2%,1,10.2%,LV,1,8,13.7%,8,13.7%,5,31.7%,5,31.7%,23,16.5%,23,16.5%,15,-1.4%,15,-1.4%,0
MIN,0,10,10.8%,10,10.8%,6,28.2%,6,28.2%,26,20.1%,26,20.1%,6,2.7%,6,2.7%,IND,1,26,-27.0%,26,-27.0%,15,3.8%,15,3.8%,28,26.0%,28,26.0%,21,-4.8%,21,-4.8%,0
LAC,0,11,4.1%,11,4.1%,22,-7.6%,22,-7.6%,6,-20.4%,6,-20.4%,26,-8.7%,26,-8.7%,KC,1,16,-1.3%,16,-1.3%,9,17.6%,9,17.6%,25,17.5%,25,17.5%,14,-1.3%,14,-1.3%,1
CAR,0,12,2.5%,12,2.5%,8,23.4%,8,23.4%,27,24.0%,27,24.0%,4,3.2%,4,3.2%,TB,1,23,-16.3%,23,-16.3%,25,-16.1%,25,-16.1%,8,-16.4%,8,-16.4%,30,-16.7%,30,-16.7%,0
CHI,1,13,0.3%,13,0.3%,19,0.9%,19,0.9%,12,-1.6%,12,-1.6%,16,-2.2%,16,-2.2%,NYG,0,31,-54.7%,31,-54.7%,30,-45.4%,30,-45.4%,22,11.9%,22,11.9%,7,2.6%,7,2.6%,1
DAL,1,14,0.3%,14,0.3%,12,9.2%,12,9.2%,18,3.9%,18,3.9%,23,-5.1%,23,-5.1%,ATL,0,25,-26.0%,25,-26.0%,10,11.8%,10,11.8%,32,38.9%,32,38.9%,10,1.1%,10,1.1%,1
DET,0,15,-0.1%,15,-0.1%,21,-0.3%,21,-0.3%,15,1.2%,15,1.2%,9,1.4%,9,1.4%,GB,1,17,-5.0%,17,-5.0%,7,24.2%,7,24.2%,30,28.7%,30,28.7%,12,-0.4%,12,-0.4%,0
KC,1,16,-1.3%,16,-1.3%,9,17.6%,9,17.6%,25,17.5%,25,17.5%,14,-1.3%,14,-1.3%,LAC,0,11,4.1%,11,4.1%,22,-7.6%,22,-7.6%,6,-20.4%,6,-20.4%,26,-8.7%,26,-8.7%,0
GB,1,17,-5.0%,17,-5.0%,7,24.2%,7,24.2%,30,28.7%,30,28.7%,12,-0.4%,12,-0.4%,DET,0,15,-0.1%,15,-0.1%,21,-0.3%,21,-0.3%,15,1.2%,15,1.2%,9,1.4%,9,1.4%,1
ARI,1,18,-5.2%,18,-5.2%,20,0.5%,20,0.5%,17,2.9%,17,2.9%,17,-2.8%,17,-2.8%,WAS,0,6,35.9%,6,35.9%,28,-32.7%,28,-32.7%,1,-69.4%,1,-69.4%,13,-0.8%,13,-0.8%,1
SF,1,19,-6.1%,19,-6.1%,18,2.3%,18,2.3%,14,0.6%,14,0.6%,24,-7.8%,24,-7.8%,NYJ,0,28,-35.2%,28,-35.2%,26,-21.1%,26,-21.1%,16,2.7%,16,2.7%,29,-11.4%,29,-11.4%,0
LAR,1,21,-13.5%,21,-13.5%,13,7.5%,13,7.5%,20,9.5%,20,9.5%,28,-11.4%,28,-11.4%,PHI,0,29,-41.1%,29,-41.1%,32,-71.3%,32,-71.3%,4,-33.6%,4,-33.6%,18,-3.4%,18,-3.4%,0
TEN,1,22,-14.3%,22,-14.3%,16,3.4%,16,3.4%,10,-11.1%,10,-11.1%,32,-28.7%,32,-28.7%,JAX,0,3,38.0%,3,38.0%,4,35.8%,4,35.8%,13,0.5%,13,0.5%,5,2.8%,5,2.8%,1
